bmw,90588
vw,70072
audi,59750
suzuki,46901
subaru,45075
nissan,43336
volvo,41617
ford,39567
hyundai,37771
mercedes,37465
jeep,33878
mitsubishi,26200
opel,25576
mazda,24914
skoda,23865
honda,23218
renault,21187
dacia,19163
porsche,18908
kia,15936
land rover,14564
peugeot,13288
lexus,8300
toyota,7257
seat,6160
ssangyong,5783
chevrolet,4895
citroen,4794
daihatsu,4672
fiat,4259
alfa romeo,3136
jaguar,2134
tesla,1904
maserati,1111
cadillac,941
dodge,836
infiniti,794
hummer,383
lada,309
lamborghini,69
royce,12
