vw - TIGUAN,53906
bmw - X3,31876
ford - KUGA,31414
nissan - QASHQAI,29713
subaru - FORESTER,28557
bmw - X1,27224
audi - Q5,27139
volvo - XC60,25409
suzuki - SX4,24981
bmw - X5,22137
jeep - CHEROKEE und GRAND CHEROKEE,19606
honda - CR-V,19427
dacia - DUSTER,19163
audi - Q3,18845
opel - MOKKA,17422
subaru - XV,16518
mazda - CX-5,16145
suzuki - VITARA / GRAND VITARA,15487
skoda - YETI,15292
mercedes - GLC,13622
hyundai - TUCSON,13217
vw - TOUAREG,11674
volvo - XC90,11538
renault - CAPTUR,11183
porsche - CAYENNE,11005
hyundai - IX 35,10882
mitsubishi - OUTLANDER,10834
peugeot - 2008,10216
hyundai - SANTA FE,9868
mitsubishi - ASX,9438
mercedes - GLA,9434
audi - Q7,8668
nissan - X-TRAIL,8503
porsche - MACAN,7903
kia - SPORTAGE,7829
kia - SORENTO,6777
lexus - RX,6547
land rover - DISCOVERY (ink. SPORT),6452
seat - ATECA,6160
renault - KOLEOS,6142
suzuki - JIMNY,6121
mitsubishi - PAJERO,5926
mazda - CX-3,5906
mercedes - GLK,5893
mercedes - GLE,5357
skoda - KODIAQ,5282
bmw - X6,5105
audi - Q2,5098
jeep - COMPASS,4746
volvo - XC70,4670
daihatsu - TERIOS,4527
vw - T-ROC,4492
fiat - SEDICI,4259
jeep - WRANGLER,4253
bmw - X4,4246
jeep - RENEGADE,4199
toyota - C-HR,3918
renault - KADJAR,3862
chevrolet - CAPTIVA,3817
honda - HR-V,3791
opel - ANTARA,3447
citroen - C4 CACTUS,3383
land rover - DEFENDER,3383
skoda - KAROQ,3291
alfa romeo - STELVIO,3136
ford - MAVERICK,2919
toyota - LANDCRUISER,2885
ford - ECOSPORT,2869
opel - CROSSLAND X,2542
hyundai - KONA,2429
land rover - FREELANDER,2418
ssangyong - REXTON,2343
land rover - RANGE ROVER (inkl. EVOQUE und SPORT),2311
jaguar - F-PACE,2134
ssangyong - KORANDO,2131
mazda - CX-7,2025
tesla - MODEL X,1904
ford - EDGE,1891
peugeot - 4007,1799
nissan - PATHFINDER,1763
lexus - NX,1753
nissan - MURANO,1692
mercedes - G-KLASSE,1543
citroen - C-CROSSER,1411
ssangyong - TIVOLI,1309
peugeot - 4008,1273
opel - GRANDLAND X,1268
nissan - PATROL,1163
maserati - Levante,1111
chevrolet - TRAX,1078
mercedes - GL,964
opel - FRONTERA,897
hyundai - TERRACAN,845
kia - NIRO,841
mazda - TRIBUTE,838
dodge - NITRO,836
jeep - PATRIOT,755
infiniti - FX,550
nissan - TERRANO II,502
cadillac - ESCALADE,500
kia - STONIC,489
ford - EXPLORER,474
toyota - RAV,454
mercedes - GLS,443
cadillac - SRX,441
hummer - Alle Modelle,383
jeep - COMMANDER,313
suzuki - SAMURAI,312
hyundai - HDPIC GALLOPER,311
lada - NIVA,309
infiniti - QX70,244
hyundai - IX 55,219
mercedes - R-KLASSE,209
daihatsu - FEROZA,145
lamborghini - Urus,69
royce - Cullinan,12
jeep - HOTCHKISS,6
mitsubishi - L200,2
